What do you identify as?,Which better describes your parents?,Were either of your parents in STEM?,What is the highest level of education that either of your parents achieved?,What is your average household income (CAD) in 2021?,What was your high school admission average? [Top 6: including prerequisites!],Which extracurriculars did you do prior to coming to Waterloo? (Select all that apply),Were you part of any enrichment program in high school? (Select all that apply),Which of the following universities were among your top 3 programs that you applied to? (Select all that apply),Did you submit a video interview? ,How did you attend the majority of your last year of high school?,What format was your last year of high school in?,What is your University Average?,Final 1A Course Averages? [101],Final 1A Course Averages? [101L],Final 1A Course Averages? [111],Final 1A Course Averages? [113],Final 1A Course Averages? [121],Final 1A Course Averages? [161],Final 1A Course Averages? [181],Course Usefulness [101],Course Usefulness [101L],Course Usefulness [161],Course Usefulness [111],Course Usefulness [113],Course Usefulness [121],Course Usefulness [181],Course Difficulty [101],Course Difficulty [101L],Course Difficulty [161],Course Difficulty [111],Course Difficulty [113],Course Difficulty [121],Course Difficulty [181],Lectures Attended/Watched [101],Lectures Attended/Watched [101L],Lectures Attended/Watched [161],Lectures Attended/Watched [111],Lectures Attended/Watched [113],Lectures Attended/Watched [121],Lectures Attended/Watched [181],What percentage of live lectures/tutorials did you attend: [In-Person Synchronously],What percentage of live lectures/tutorials did you attend: [Online Synchronously],What percentage of live lectures/tutorials did you attend: [Online Asynchronously],Did your study habits improve over 1A?,Favourite Professor?,Least Favourite Professor?,Which round did you first get an interview in?,During which round did you accept your job?,Weirdest job interview question?,What kind of job did you accept?,What industry is your co-op in?,Are you happy with your co-op?,What is your pay? (CAD/hr),Did you participate in squydegame?,"If no, did you wish you did?",Did you help with the tagging of others?,Did you enjoy watching the action of the game?,Would you play next time?,What was your general stress level throughout the term?,"On average, how many hours of sleep do you get each night?",How many all-nighters did you pull this term?,How many days per week did you go outside?,Where did you live?,What percentage of the class could you name? (Intervals are in +10%),What percentage of your high school friends do you still keep in touch/are still friends with?,What percentage of your current friends are in SYDE?,Which of the following extracurriculars did you regularly (e.g. at least biweekly) engage in throughout the term? (Select all that apply),"Before coming to Waterloo, have you: [Drunk alcohol?]","Before coming to Waterloo, have you: [Smoked/Vaped?]","Before coming to Waterloo, have you: [Done drugs?]","Before coming to Waterloo, have you: [Had sex?]","Before coming to Waterloo, have you: [Had your first kiss?]","During 1A, did you: [Drink alcohol?]","During 1A, did you: [Smoke/Vape?]","During 1A, did you: [Do drugs?]","During 1A, did you: [Have sex?]","During 1A, did you: [Attend a university party?]","During 1A, did you: [Have your first kiss?]",How much did your rice purity score drop by between high school and the end of 1A? (You can check your rice purity score here: http://ricepuritytest.com/) Enter 0 if it did not drop.,How does your current experience with SYDE compare to what you expected it to be when you applied?,"Given the chance, would you apply to SYDE again?","If no, would you apply to another UW program instead? If so, enter the program you would apply to instead.",What is the biggest piece of advice/wisdom you would give to someone thinking about applying to SYDE?,What was your favourite assignment to complete?,"If you could describe 1A in one word, what would it be?"
Female,Immigrants,Yes,Graduate,$150 - 200K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",IB,"McGill University, University of Toronto, College outside Canada",Yes,Fully online,Quadmesters,94,95 - 99%,90 - 94%,95 - 99%,100%,95 - 99%,80 - 84%,100%,4,6,3,6,6,5,4,7 (Very Easy),4,1 (Very Difficult),2,4,3,5,1 (None or Nearly None),7 (All or Nearly All),7 (All or Nearly All),5,5,3,3,,,76 - 100%,No,Sean Speziale,,1st Round,2nd Round,,Machine Learning/artificial Intelligence,Government,Yes,17,No,No,Yes,Yes,Maybe,6,6,4,5,CMH,7,9,8,"Clubs, Design Team, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before","Yes, for the first time",No,No,"Yes, done it before",,4,6,Yes,,,101L Assignment 3,
Male,Immigrants,Yes,Graduate,$250 - 300K,95,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Eng Job/Tech Internship",AP,"University of Toronto, College outside Canada",Yes,Hybrid,Semesters,,80 - 84%,85 - 89%,90 - 94%,85 - 89%,85 - 89%,75 - 79%,90 - 94%,1 (Very useless),5,2,7 (Very useful),6,6,7 (Very useful),7 (Very Easy),5,2,6,6,5,5,1 (None or Nearly None),2,1 (None or Nearly None),5,4,2,4,0 - 25%,26 - 50%,26 - 50%,No,Nasim Paryab,Matt Borland,2nd Round,Continuous,idk this guy asked abt some technical shit related to a battery. Actually shat the bed for that interview lol,Software,Government,Yes,17.25,Yes,No,Yes,No,No,6,7,10,5,UWP,4,10,5,"Sports, Syde Projects, Hangouts with Friends",Yes,Yes,Yes,No,Yes,"Yes, done it before","Yes, done it before","Yes, done it before","Yes, for the first time","Yes, for the first time","Yes, done it before",29,2,Yes,,"get cracked before coming here lmao, everyones resume alr too nice.",all the 101L modeling ones,marathon
Female,Native-born,Yes,Graduate,$150 - 200K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",AP,"University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,91,80 - 84%,90 - 94%,95 - 99%,95 - 99%,90 - 94%,80 - 84%,95 - 99%,3,3,3,7 (Very useful),6,5,6,5,7 (Very Easy),3,4,4,4,6,1 (None or Nearly None),4,2,5,5,3,5,0 - 25%,26 - 50%,51 - 75%,No,Nasim Paryab,Kate Mercer,1st Round,2nd Round,Something about architecture and the word was really long,Software,Retail,Yes,22,No,No,Yes,Yes,Maybe,5,6,10,4,CMH,6,9,8,Clubs,No,No,No,No,No,"Yes, for the first time","Yes, for the first time","Yes, for the first time","Yes, for the first time","Yes, for the first time","Yes, for the first time",36,2,Yes,,Prepare for co-op before school starts,101L final (vehicle),new
Female,Immigrants,Yes,Undergraduate,$200 - 250K,98,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",IB,just waterloo LMAO,Yes,Hybrid,Quadmesters,96/4.0,95 - 99%,95 - 99%,100%,100%,95 - 99%,90 - 94%,100%,2,5,4,6,7 (Very useful),5,5,4,4,5,6,,2,7 (Very Easy),2,3,4,3,2,2,2,0 - 25%,0 - 25%,0 - 25%,Yes,Sean Speziale,,1st Round,2nd Round,What are your heuristic life values?,UI/UX,design/manufacturing,Yes,23,No,No,Yes,Yes,Maybe,5,5,0,7,CMH,8,9,3,"Sports, Clubs, Design Team, Syde Projects, Hangouts with Friends, internship",No,No,No,No,Yes,"Yes, for the first time",No,No,No,"Yes, for the first time","Yes, done it before",2,5,Yes,,just do it,,
Female,Immigrants,Yes,Undergraduate,$200 - 250K,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",Visual Art Program,Western University,Yes,Fully online,Semesters,86.50%,90 - 94%,90 - 94%,80 - 84%,80 - 84%,85 - 89%,75 - 79%,95 - 99%,3,5,1 (Very useless),1 (Very useless),1 (Very useless),1 (Very useless),1 (Very useless),6,6,3,1 (Very Difficult),2,1 (Very Difficult),7 (Very Easy),1 (None or Nearly None),5,3,5,4,2,4,0 - 25%,26 - 50%,51 - 75%,No,Ewen MacDonald,Matt Borland,1st Round,1st Round,didn't have any,Product/Project Management,Health,Yes,,No,No,No,No,No,7,5,5,3,Off-campus housing,4,9,5,"Sports, Syde Projects, Hangouts with Friends",No,No,No,No,No,"Yes, for the first time","Yes, for the first time",No,No,"Yes, for the first time",No,,2,No,GBDA lol,check if you actually like the courses in the course calendar and are interested in the subjects that are taught.,101L Onshape Assignment 3,chaotic and lonely
Male,Native-born,Yes,Graduate,$300K+,95,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job","IB, Private School","McGill University, University of Toronto, Western University",Yes,Hybrid,Full year,86.82,90 - 94%,80 - 84%,80 - 84%,80 - 84%,90 - 94%,80 - 84%,95 - 99%,2,7 (Very useful),4,3,3,5,3,7 (Very Easy),4,4,4,3,4,6,1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),4,1 (None or Nearly None),1 (None or Nearly None),3,51 - 75%,0 - 25%,0 - 25%,No,Sean Speziale,Kate Mercer,1st Round,1st Round,Do you have any friends who can mentor you about programming while you work?,Software,Health,Yes,20,Yes,,No,Yes,Yes,3,8,3,5,CMH,9,1,9,Hangouts with Friends,Yes,No,No,No,Yes,"Yes, done it before",No,"Yes, for the first time",No,"Yes, for the first time",No,4,6,Yes,,"SYDE is best for people who aren't sure between software, design, pm",101L Assignment 3,Adventurous
Male,Native-born,Yes,Graduate,$150 - 200K,3.9,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",AP,"University of Toronto, College outside Canada",Yes,Fully online,Semesters,,,,,,,,,3,6,3,6,3,5,3,7 (Very Easy),5,3,2,3,5,6,1 (None or Nearly None),2,1 (None or Nearly None),7 (All or Nearly All),5,2,3,0 - 25%,0 - 25%,51 - 75%,No,Nasim Paryab,Jason Foster,1st Round,2nd Round,Favorite Mathematical Function,Software,Retail,Yes,25,No,Yes,Yes,Yes,Yes,2,5,5,6,CMH,7,8,5,"Sports, Hangouts with Friends",No,No,No,No,Yes,No,"Yes, for the first time",No,No,"Yes, for the first time",No,8,2,Yes,,THE PEOPLE ARE AMAZING AND SYDE IS SO FAMILY ORIENTED,101L assignment 3,family
Male,Immigrants,No,Graduate,,97,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job","Gifted, AP",University of Toronto,Yes,Fully online,Quadmesters,89,90 - 94%,90 - 94%,80 - 84%,90 - 94%,95 - 99%,75 - 79%,95 - 99%,2,3,2,7 (Very useful),7 (Very useful),6,4,7 (Very Easy),4,4,2,3,6,3,2,4,2,5,4,2,2,0 - 25%,26 - 50%,51 - 75%,No,Christopher Nehaniv,Matt Borland,2nd Round,Continuous,What is your favourite job out of all the interviews you've gotten so far?,Software,Software,Yes,31.2,No,No,,,Maybe,4,6,1,7,UWP,3,6,1,"Design Team, Syde Projects, Hangouts with Friends",Yes,No,No,No,Yes,"Yes, done it before",No,No,"Yes, for the first time",No,No,11,5,No,SE,,3d modelling vehicle,
Female,Immigrants,No,Undergraduate,$50 - 100K,96,"Volunteer experience, Sports, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",IB,"McMaster University, University of Toronto, Western University",Yes,Fully in-person,Octomesters,90,80 - 84%,85 - 89%,95 - 99%,90 - 94%,95 - 99%,75 - 79%,95 - 99%,1 (Very useless),2,3,5,4,6,4,5,7 (Very Easy),2,1 (Very Difficult),1 (Very Difficult),3,4,1 (None or Nearly None),2,2,7 (All or Nearly All),6,3,5,0 - 25%,26 - 50%,51 - 75%,No,Nasim Paryab,Kate Mercer,1st Round,1st Round,,Software,Marketing,No,21,No,No,Yes,Yes,Maybe,6,7,7,4,CMH,7,2,7,"Sports, Hangouts with Friends",Yes,Yes,No,No,No,"Yes, done it before","Yes, done it before",No,No,"Yes, for the first time",No,7,3,Yes,,Look at the courses.,Something in 101L,"Fun socially, depressing academically"
Male,Immigrants,Yes,Graduate,,93,"Volunteer experience, Performing/Visual Arts, Club Leader",AP,"McGill University, University of British Columbia, University of Toronto, Uwaterloo",Yes,Fully in-person,Semesters,72,80 - 84%,65 - 69%,70 - 74%,70 - 74%,60 - 64%,65 - 69%,80 - 84%,5,3,5,7 (Very useful),6,7 (Very useful),7 (Very useful),6,3,4,2,2,2,6,1 (None or Nearly None),4,1 (None or Nearly None),7 (All or Nearly All),6,3,3,0 - 25%,51 - 75%,51 - 75%,No,Sean Speziale,Matt Borland,Continous,Continuous,What is SYDE ,Software,Software,Yes,6,Yes,,Yes,Yes,Yes,2,7,3,7,UWP,1,5,1,,Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,0,5,Yes,,keep mental in check,none,ok
Male,Immigrants,Yes,Undergraduate,$50 - 100K,96.8,"Volunteer experience, Sports, Club, Club Leader, Non-Eng Job, Eng Job/Tech Internship",IBT and SHSM,"McMaster University, Western University",Yes,Fully online,Quadmesters,81.5,85 - 89%,80 - 84%,85 - 89%,70 - 74%,65 - 69%,70 - 74%,95 - 99%,1 (Very useless),6,5,3,3,6,3,7 (Very Easy),5,4,1 (Very Difficult),2,2,7 (Very Easy),1 (None or Nearly None),2,4,1 (None or Nearly None),1 (None or Nearly None),3,2,0 - 25%,0 - 25%,0 - 25%,No,Nasim Paryab,Matt Borland,1st Round,2nd Round,Have you had any experience driving a car with a trailer?,Product Design,Manufactoring,Yes,20,Yes,,Yes,Yes,Yes,5,8,10,3,UWP,5,3,9,"Design Team, Hangouts with Friends",No,No,No,No,Yes,"Yes, for the first time",No,No,No,"Yes, for the first time","Yes, done it before",,3,No,Mechatronics Engineering,Get familiar with C++ and CAD. ,101L Assignment 3,Joyful
Male,Native-born,Yes,Undergraduate,$0 - 50K,97,"Volunteer experience, Sports, Club Leader",Private School,"McMaster University, University of British Columbia, University of Toronto",Yes,Hybrid,Quadmesters,82.7,95 - 99%,90 - 94%,65 - 69%,70 - 74%,85 - 89%,70 - 74%,90 - 94%,5,7 (Very useful),5,6,6,6,6,7 (Very Easy),7 (Very Easy),4,1 (Very Difficult),3,5,7 (Very Easy),6,7 (All or Nearly All),5,6,6,6,6,51 - 75%,76 - 100%,76 - 100%,Yes,Ewen MacDonald,Matt Borland,Continous,Direct Offer,,Product/Project Management,Manufactoring,Yes,16.3,No,Yes,No,Yes,Maybe,5,7,1,2,Off-campus housing,1,6,4,"Design Team, Syde Projects, Hangouts with Friends",No,No,No,No,No,No,No,No,No,No,No,,5,Yes,,,,
Female,Immigrants,Yes,Undergraduate,$250 - 300K,95,"Volunteer experience, Sports, Religious Activity, Club, Club Leader, Non-Eng Job",AP,"McMaster University, Queen's University, Western University",Yes,Hybrid,Quadmesters,89,90 - 94%,85 - 89%,85 - 89%,80 - 84%,90 - 94%,75 - 79%,100%,1 (Very useless),4,1 (Very useless),4,5,7 (Very useful),3,2,3,7 (Very Easy),7 (Very Easy),6,5,1 (Very Difficult),1 (None or Nearly None),3,1 (None or Nearly None),7 (All or Nearly All),5,3,1 (None or Nearly None),76 - 100%,26 - 50%,0 - 25%,No,Sean Speziale,Matt Borland,1st Round,1st Round,,Software,Software,Yes,28,Yes,,Yes,Yes,Yes,6,6,4,5,CMH,5,6,8,"Clubs, Syde Projects, Hangouts with Friends, Volunteer Work",Yes,No,No,No,No,"Yes, for the first time",No,No,No,"Yes, for the first time",No,10,5,Yes,,APPLY,101L Vehicle Assignment or 122 Design Project,Amazing
Male,Immigrants,No,Undergraduate,$100 - 150K,97,"Volunteer experience, Performing/Visual Arts, Club, Club Leader, Non-Eng Job",AP,"Ottawa/Carleton University, University of Toronto",Yes,Hybrid,Semesters,89,90 - 94%,80 - 84%,85 - 89%,85 - 89%,90 - 94%,75 - 79%,95 - 99%,1 (Very useless),4,2,7 (Very useful),6,7 (Very useful),5,7 (Very Easy),4,2,1 (Very Difficult),5,6,7 (Very Easy),1 (None or Nearly None),3,1 (None or Nearly None),7 (All or Nearly All),2,2,4,51 - 75%,26 - 50%,0 - 25%,Yes,Ewen MacDonald,Matt Borland,1st Round,1st Round,,Software,Health,Yes,19,Yes,,Yes,Yes,Yes,4,6,1,6,CMH,4,6,5,Hangouts with Friends,Yes,No,No,No,No,"Yes, done it before",No,No,No,No,No,1,5,Yes,,"Don't stress too much, try to enjoy 1A",101L Assignment 3,Rush
Female,Immigrants,No,Undergraduate,$50 - 100K,96.5,"Volunteer experience, Sports, Performing/Visual Arts, Religious Activity, Club, Club Leader, Non-Eng Job",AP,University of Toronto,Yes,Hybrid,Quadmesters,83.09,85 - 89%,80 - 84%,65 - 69%,75 - 79%,85 - 89%,80 - 84%,90 - 94%,1 (Very useless),1 (Very useless),4,4,4,1 (Very useless),3,7 (Very Easy),5,3,1 (Very Difficult),2,1 (Very Difficult),7 (Very Easy),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),1 (None or Nearly None),0 - 25%,0 - 25%,76 - 100%,Yes,Nasim Paryab,Jason Foster,Continous,Continuous,,UI/UX,Software,Yes,18.5,No,Yes,No,Yes,Yes,5,5,5,7,Off-campus housing,4,4,3,"Arts, Syde Projects, Hangouts with Friends",No,No,No,No,No,"Yes, for the first time",No,No,No,"Yes, for the first time",No,,6,Yes,,dont trust jason foster,101L Assignment 3,Shit
